Number,State,Value,Param H_min_1,Param H_min_2,Param H_min_3,Param alpha_vp_1,Param alpha_vp_2,Param alpha_vp_3,Param beta_1,Param beta_2,Param beta_3,Param buffer_size_1,Param buffer_size_2,Param buffer_size_3,Param gr_1,Param gr_2
0,COMPLETE,0.41955143176019194,0.4,0.8,0.0,0.6000000000000001,2.0,1.2000000000000002,0.8,2.0,1.6,30,40,0,140,330
1,COMPLETE,0.5150417864322663,0.6000000000000001,0.2,0.3,0.6000000000000001,0.8,0.4,0.6000000000000001,0.4,1.6,20,40,10,80,430
2,COMPLETE,0.49762959182262423,1.0,0.2,1.5,0.0,0.4,1.2000000000000002,0.2,0.4,1.6,40,30,0,200,410
3,COMPLETE,0.51962776966393,1.0,0.6000000000000001,1.2,0.4,1.2000000000000002,1.2000000000000002,0.0,0.8,0.0,0,10,10,80,330
4,COMPLETE,0.4699990913271904,0.0,1.0,0.6,0.4,0.8,0.0,0.2,1.2000000000000002,1.2000000000000002,20,10,30,120,410
5,COMPLETE,0.4588038673624396,1.0,1.0,1.5,0.6000000000000001,0.4,1.2000000000000002,0.6000000000000001,1.2000000000000002,1.2000000000000002,40,10,10,120,430
6,COMPLETE,0.5078551594167948,0.2,0.4,0.8999999999999999,0.4,1.6,0.0,0.6000000000000001,0.4,1.2000000000000002,0,30,40,90,160
7,COMPLETE,0.41941179148852825,0.2,0.0,0.0,0.8,0.4,1.2000000000000002,0.6000000000000001,0.0,1.2000000000000002,0,20,0,190,420
8,COMPLETE,0.4945432004053146,0.4,0.0,1.5,0.0,0.0,0.0,0.0,1.2000000000000002,0.8,30,10,10,150,200
9,COMPLETE,0.43797816149890423,0.4,0.6000000000000001,0.3,0.8,0.8,1.2000000000000002,1.0,1.2000000000000002,1.2000000000000002,40,0,30,90,440
10,FAIL,,0.8,0.6000000000000001,0.8999999999999999,0.2,1.6,2.0,0.0,2.0,0.0,10,0,20,70,280
11,FAIL,,0.8,0.6000000000000001,0.8999999999999999,0.2,1.6,2.0,0.0,2.0,0.0,10,0,20,50,280
12,FAIL,,0.8,0.6000000000000001,0.8999999999999999,0.2,1.6,2.0,0.0,2.0,0.0,10,0,20,50,280
13,COMPLETE,0.5071830628439784,0.8,0.6000000000000001,0.8999999999999999,0.2,1.6,2.0,0.0,2.0,0.0,10,0,20,50,280
14,COMPLETE,0.5320214297622442,0.8,0.4,0.6,1.0,1.2000000000000002,0.4,0.4,0.4,0.0,10,40,10,50,340
15,COMPLETE,0.5263110702857375,0.8,0.4,1.2,1.0,1.2000000000000002,0.8,0.2,0.8,0.0,10,20,20,50,320
