time,json_config,trained,params,c_v,score
2025-04-20T10:53:44,smooth_trial01_0000.json,yes,"{""stage1"": {""gr"": 140, ""H_min"": 0.4, ""alpha_vp"": 0.6000000000000001, ""beta"": 0.8, ""buffer_size"": 30}, ""stage2"": {""gr"": 330, ""H_min"": 0.8, ""alpha_vp"": 2.0, ""beta"": 2.0, ""buffer_size"": 40}, ""stage3"": {""gr"": 500, ""H_min"": 0.0, ""alpha_vp"": 1.2000000000000002, ""beta"": 1.6, ""buffer_size"": 0}}",0.1,0.41955143176019194
2025-04-20T11:26:16,smooth_trial01_0001.json,yes,"{""stage1"": {""gr"": 80, ""H_min"": 0.6000000000000001, ""alpha_vp"": 0.6000000000000001, ""beta"": 0.6000000000000001, ""buffer_size"": 20}, ""stage2"": {""gr"": 430, ""H_min"": 0.2, ""alpha_vp"": 0.8, ""beta"": 0.4, ""buffer_size"": 40}, ""stage3"": {""gr"": 500, ""H_min"": 0.3, ""alpha_vp"": 0.4, ""beta"": 1.6, ""buffer_size"": 10}}",0.1,0.5150417864322663
2025-04-20T11:57:54,smooth_trial01_0002.json,yes,"{""stage1"": {""gr"": 200, ""H_min"": 1.0, ""alpha_vp"": 0.0, ""beta"": 0.2, ""buffer_size"": 40}, ""stage2"": {""gr"": 410, ""H_min"": 0.2, ""alpha_vp"": 0.4, ""beta"": 0.4, ""buffer_size"": 30}, ""stage3"": {""gr"": 500, ""H_min"": 1.5, ""alpha_vp"": 1.2000000000000002, ""beta"": 1.6, ""buffer_size"": 0}}",0.1,0.49762959182262423
2025-04-20T12:28:27,smooth_trial01_0003.json,yes,"{""stage1"": {""gr"": 80, ""H_min"": 1.0, ""alpha_vp"": 0.4, ""beta"": 0.0, ""buffer_size"": 0}, ""stage2"": {""gr"": 330, ""H_min"": 0.6000000000000001, ""alpha_vp"": 1.2000000000000002, ""beta"": 0.8, ""buffer_size"": 10}, ""stage3"": {""gr"": 500, ""H_min"": 1.2, ""alpha_vp"": 1.2000000000000002, ""beta"": 0.0, ""buffer_size"": 10}}",0.1,0.51962776966393
2025-04-20T13:01:13,smooth_trial01_0004.json,yes,"{""stage1"": {""gr"": 120, ""H_min"": 0.0, ""alpha_vp"": 0.4, ""beta"": 0.2, ""buffer_size"": 20}, ""stage2"": {""gr"": 410, ""H_min"": 1.0, ""alpha_vp"": 0.8, ""beta"": 1.2000000000000002, ""buffer_size"": 10}, ""stage3"": {""gr"": 500, ""H_min"": 0.6, ""alpha_vp"": 0.0, ""beta"": 1.2000000000000002, ""buffer_size"": 30}}",0.1,0.4699990913271904
2025-04-20T13:33:09,smooth_trial01_0005.json,yes,"{""stage1"": {""gr"": 120, ""H_min"": 1.0, ""alpha_vp"": 0.6000000000000001, ""beta"": 0.6000000000000001, ""buffer_size"": 40}, ""stage2"": {""gr"": 430, ""H_min"": 1.0, ""alpha_vp"": 0.4, ""beta"": 1.2000000000000002, ""buffer_size"": 10}, ""stage3"": {""gr"": 500, ""H_min"": 1.5, ""alpha_vp"": 1.2000000000000002, ""beta"": 1.2000000000000002, ""buffer_size"": 10}}",0.1,0.4588038673624396
2025-04-20T15:50:53,smooth_trial01_0006.json,yes,"{""stage1"": {""gr"": 90, ""H_min"": 0.2, ""alpha_vp"": 0.4, ""beta"": 0.6000000000000001, ""buffer_size"": 0}, ""stage2"": {""gr"": 160, ""H_min"": 0.4, ""alpha_vp"": 1.6, ""beta"": 0.4, ""buffer_size"": 30}, ""stage3"": {""gr"": 500, ""H_min"": 0.8999999999999999, ""alpha_vp"": 0.0, ""beta"": 1.2000000000000002, ""buffer_size"": 40}}",0.1,0.5078551594167948
2025-04-20T16:35:56,smooth_trial01_0007.json,yes,"{""stage1"": {""gr"": 190, ""H_min"": 0.2, ""alpha_vp"": 0.8, ""beta"": 0.6000000000000001, ""buffer_size"": 0}, ""stage2"": {""gr"": 420, ""H_min"": 0.0, ""alpha_vp"": 0.4, ""beta"": 0.0, ""buffer_size"": 20}, ""stage3"": {""gr"": 500, ""H_min"": 0.0, ""alpha_vp"": 1.2000000000000002, ""beta"": 1.2000000000000002, ""buffer_size"": 0}}",0.1,0.41941179148852825
2025-04-20T17:13:38,smooth_trial01_0008.json,yes,"{""stage1"": {""gr"": 150, ""H_min"": 0.4, ""alpha_vp"": 0.0, ""beta"": 0.0, ""buffer_size"": 30}, ""stage2"": {""gr"": 200, ""H_min"": 0.0, ""alpha_vp"": 0.0, ""beta"": 1.2000000000000002, ""buffer_size"": 10}, ""stage3"": {""gr"": 500, ""H_min"": 1.5, ""alpha_vp"": 0.0, ""beta"": 0.8, ""buffer_size"": 10}}",0.1,0.4945432004053146
2025-04-20T17:51:37,smooth_trial01_0009.json,yes,"{""stage1"": {""gr"": 90, ""H_min"": 0.4, ""alpha_vp"": 0.8, ""beta"": 1.0, ""buffer_size"": 40}, ""stage2"": {""gr"": 440, ""H_min"": 0.6000000000000001, ""alpha_vp"": 0.8, ""beta"": 1.2000000000000002, ""buffer_size"": 0}, ""stage3"": {""gr"": 500, ""H_min"": 0.3, ""alpha_vp"": 1.2000000000000002, ""beta"": 1.2000000000000002, ""buffer_size"": 30}}",0.1,0.43797816149890423
